,Filer,Date,Accession No.,Description
16,"DC Energy, LLC",10/5/2017,20171005-5084,"(doc-less) Motion to Intervene of DC Energy, LLC under RM18-1."
17,NATURAL RESOURCES DEFENSE COUNCIL,10/5/2017,20171005-5091,(doc-less) Motion to Intervene of NATURAL RESOURCES DEFENSE COUNCIL under RM18-1.
18,New Jersey Division of Rate Counsel,10/5/2017,20171005-5095,(doc-less) Motion to Intervene of New Jersey Division of Rate Counsel under RM18-1.
19,Individual No Affiliation,10/5/2017,20171005-5105,"Motion of Richard J. Pierce, Jr. in Opposition to the Secretary of Energy's September 29, 2017 Requests for an Interim Final Rule and an Expedited Time Frame for Comment and Consideration under RM18-1."
20,Independent Petroleum Association of America,10/5/2017,20171005-5115,Motion of the Independent Petroleum Association of America and Cooperating Associations for Extension of Time for Comments and Request for Expedited Consideration under RM18-1.
21,PJM Industrial Customer Coalition,10/5/2017,20171005-5116,(doc-less) Motion to Intervene of PJM Industrial Customer Coalition under RM18-1.
22,Coalition of MISO Transmission Customers,10/5/2017,20171005-5117,(doc-less) Motion to Intervene of Coalition of MISO Transmission Customers under RM18-1.
23,Organization of MISO States,10/5/2017,20171005-5144,"Motion of the Organization of MISO States in Support of October 3, 2017 Motion for Extension of Time by the Energy Industry Associations under RM18-1."
24,Industrial Coalitions,10/5/2017,20171005-5148,"Answer of the Industrial Coalitions In Support of the October 3, 2017 Motion for Extension of Time and Request for Expedited Treatment by the Energy Industry Associations under RM18-1."
25,Process Gas Consumers Group,10/6/2017,20171006-5011,Motion to Intervene of Process Gas Consumers Group and Answer in Support of Motion for Extension of Time under RM18-1.
26,NATURAL RESOURCES DEFENSE COUNCIL ENVIRONMENTAL DEFENSE FUND Sierra Club EARTHJUSTICE,10/6/2017,20171006-5022,"Answer of the Public Interest Organizations In Support of the October 3, 2017 Joint Motion for Extension of Time by the Energy Industry Associations under RM18-1."
27,PJM Power Providers Group,10/6/2017,20171006-5107,(doc-less) Motion to Intervene of PJM Power Providers Group under RM18-1.
28,UNITED STATES SENATE,10/6/2017,20171010-0008,U.S. Senator Joe Manchin III submits comments re the Grid Reliability and Resilience Pricing under RM18-1
29,Rockland Capital,10/10/2017,20171010-5034,(doc-less) Motion to Intervene of Rockland Capital under RM18-1.
30,"Monitoring Analytics, LLC",10/10/2017,20171010-5037,(doc-less) Motion to Intervene of the Independent Market Monitor for PJM under RM18-1.
31,"Southern Maryland Electric Cooperative, Inc.",10/10/2017,20171010-5068,"(doc-less) Motion to Intervene of Southern Maryland Electric Cooperative, Inc. under RM18-1."
32,Public Service Electric and Gas Company PSEG Power LLC PSEG Energy Resources & Trade LLC,10/10/2017,20171010-5119,(doc-less) Motion to Intervene of the PSEG Companies under RM18-1.
33,Delaware Public Service Commission,10/10/2017,20171010-5122,Answer in Support of Motion for Extension of Time of Energy Industry Associations of Delaware Public Service Commission under RM18-1.
34,National Association of Regulatory Utility Commissioners,10/10/2017,20171010-5126,"Answer of National Association of Regulatory Utility Commissioners Supporting the October 3, 2017 Joint Motion for Extension of Time of the Energy Industry Association under RM18-1."
35,Public Utilities Commission of Ohio,10/10/2017,20171010-5184,(doc-less) Motion to Intervene submitted on behalf of the Public Utilities Commission of Ohio under RM18-1.
36,Connecticut Public Utilities Regulatory Authority Connecticut Public Utilities Regulatory Authority,10/10/2017,20171010-5198,(doc-less) Motion to Intervene of Connecticut Public Utilities Regulatory Authority under RM18-1.
37,Arkansas Public Service Commission,10/10/2017,20171010-5210,(doc-less) Notice of Intervention of Arkansas Public Service Commission under RM18-1.
38,FirstEnergy Service Company,10/10/2017,20171010-5259,"Answer of FirstEnergy Service Company on behalf of its affiliates in Opposition to October 3, 2017 Joint Motion for Extension of Time by of the Energy Industry Associations under RM18-1."
39,"PUBLIC CITIZEN, INC",10/10/2017,20171010-5272,"(doc-less) Motion to Intervene of PUBLIC CITIZEN, INC under RM18-1."
40,Public Service Electric and Gas Company PSEG Power LLC PSEG Energy Resources & Trade LLC,10/10/2017,20171010-5390,"Answer of the PSEG Companies in Opposition to the October 3, 2017 Motion to Extend Time for Comments by the Movants under RM18-1."
41,CONGRESS OF THE UNITED STATES,10/11/2017,20171011-0012,Comments of the U.S Senator Shelley Moore Capito re the grid resiliency pricing and resilience pricing under RM18-1.
42,NUCLEAR INFORMATION & RESOURCE SERVICE,10/11/2017,20171011-0015,The Nuclear Information and Resource Service submits comments regarding the Grid Reliability and Resilience Pricing under RM18-1. Part 1 of 76.
43,NUCLEAR INFORMATION & RESOURCE SERVICE,10/11/2017,20171011-0016,The Nuclear Information and Resource Service submits comments regarding the Grid Reliability and Resilience Pricing under RM18-1. Part 2 of 76.
44,NUCLEAR INFORMATION & RESOURCE SERVICE,10/11/2017,20171011-0017,The Nuclear Information and Resource Service submits comments regarding the Grid Reliability and Resilience Pricing under RM18-1. Part 3 of 76.
45,NUCLEAR INFORMATION & RESOURCE SERVICE,10/11/2017,20171011-0018,The Nuclear Information and Resource Service submits comments regarding the Grid Reliability and Resilience Pricing under RM18-1. Part 4 of 76.
46,NUCLEAR INFORMATION & RESOURCE SERVICE,10/11/2017,20171011-0019,The Nuclear Information and Resource Service submits comments regarding the Grid Reliability and Resilience Pricing under RM18-1. Part 5 of 76.
47,NUCLEAR INFORMATION & RESOURCE SERVICE,10/11/2017,20171011-0020,The Nuclear Information and Resource Service submits comments regarding the Grid Reliability and Resilience Pricing under RM18-1. Part 6 of 76.
48,NUCLEAR INFORMATION & RESOURCE SERVICE,10/11/2017,20171011-0021,The Nuclear Information and Resource Service submits comments regarding the Grid Reliability and Resilience Pricing under RM18-1. Part 7 of 76.
49,NUCLEAR INFORMATION & RESOURCE SERVICE,10/11/2017,20171011-0022,The Nuclear Information and Resource Service submits comments regarding the Grid Reliability and Resilience Pricing under RM18-1. Part 8 of 76.
50,NUCLEAR INFORMATION & RESOURCE SERVICE,10/11/2017,20171011-0023,The Nuclear Information and Resource Service submits comments regarding the Grid Reliability and Resilience Pricing under RM18-1. Part 9 of 76.
51,NUCLEAR INFORMATION & RESOURCE SERVICE,10/11/2017,20171011-0024,The Nuclear Information and Resource Service submits comments regarding the Grid Reliability and Resilience Pricing under RM18-1. Part 10 of 76.
52,NUCLEAR INFORMATION & RESOURCE SERVICE,10/11/2017,20171011-0025,The Nuclear Information and Resource Service submits comments regarding the Grid Reliability and Resilience Pricing under RM18-1. Part 11 of 76.
53,NUCLEAR INFORMATION & RESOURCE SERVICE,10/11/2017,20171011-0026,The Nuclear Information and Resource Service submits comments regarding the Grid Reliability and Resilience Pricing under RM18-1. Part 12 of 76.
54,NUCLEAR INFORMATION & RESOURCE SERVICE,10/11/2017,20171011-0027,The Nuclear Information and Resource Service submits comments regarding the Grid Reliability and Resilience Pricing under RM18-1. Part 13 of 76.
55,NUCLEAR INFORMATION & RESOURCE SERVICE,10/11/2017,20171011-0028,The Nuclear Information and Resource Service submits comments regarding the Grid Reliability and Resilience Pricing under RM18-1. Part 14 of 76.
56,NUCLEAR INFORMATION & RESOURCE SERVICE,10/11/2017,20171011-0029,The Nuclear Information and Resource Service submits comments regarding the Grid Reliability and Resilience Pricing under RM18-1. Part 15 of 76.
57,NUCLEAR INFORMATION & RESOURCE SERVICE,10/11/2017,20171011-0030,The Nuclear Information and Resource Service submits comments regarding the Grid Reliability and Resilience Pricing under RM18-1. Part 16 of 76.
58,NUCLEAR INFORMATION & RESOURCE SERVICE,10/11/2017,20171011-0031,The Nuclear Information and Resource Service submits comments regarding the Grid Reliability and Resilience Pricing under RM18-1. Part 17 of 76.
59,NUCLEAR INFORMATION & RESOURCE SERVICE,10/11/2017,20171011-0032,The Nuclear Information and Resource Service submits comments regarding the Grid Reliability and Resilience Pricing under RM18-1. Part 18 of 76.
60,NUCLEAR INFORMATION & RESOURCE SERVICE,10/11/2017,20171011-0033,The Nuclear Information and Resource Service submits comments regarding the Grid Reliability and Resilience Pricing under RM18-1. Part 19 of 76.
61,NUCLEAR INFORMATION & RESOURCE SERVICE,10/11/2017,20171011-0034,The Nuclear Information and Resource Service submits comments regarding the Grid Reliability and Resilience Pricing under RM18-1. Part 20 of 76.
62,NUCLEAR INFORMATION & RESOURCE SERVICE,10/11/2017,20171011-0035,The Nuclear Information and Resource Service submits comments regarding the Grid Reliability and Resilience Pricing under RM18-1. Part 21 of 76.
63,NUCLEAR INFORMATION & RESOURCE SERVICE,10/11/2017,20171011-0036,The Nuclear Information and Resource Service submits comments regarding the Grid Reliability and Resilience Pricing under RM18-1. Part 22 of 76.
64,NUCLEAR INFORMATION & RESOURCE SERVICE,10/11/2017,20171011-0037,The Nuclear Information and Resource Service submits comments regarding the Grid Reliability and Resilience Pricing under RM18-1. Part 23 of 76.
65,NUCLEAR INFORMATION & RESOURCE SERVICE,10/11/2017,20171011-0038,The Nuclear Information and Resource Service submits comments regarding the Grid Reliability and Resilience Pricing under RM18-1. Part 24 of 76.
66,NUCLEAR INFORMATION & RESOURCE SERVICE,10/11/2017,20171011-0039,The Nuclear Information and Resource Service submits comments regarding the Grid Reliability and Resilience Pricing under RM18-1. Part 25 of 76.
67,NUCLEAR INFORMATION & RESOURCE SERVICE,10/11/2017,20171011-0040,The Nuclear Information and Resource Service submits comments regarding the Grid Reliability and Resilience Pricing under RM18-1. Part 26 of 76.
68,NUCLEAR INFORMATION & RESOURCE SERVICE,10/11/2017,20171011-0041,The Nuclear Information and Resource Service submits comments regarding the Grid Reliability and Resilience Pricing under RM18-1. Part 27 of 76.
69,NUCLEAR INFORMATION & RESOURCE SERVICE,10/11/2017,20171011-0042,The Nuclear Information and Resource Service submits comments regarding the Grid Reliability and Resilience Pricing under RM18-1. Part 28 of 76.
70,NUCLEAR INFORMATION & RESOURCE SERVICE,10/11/2017,20171011-0043,The Nuclear Information and Resource Service submits comments regarding the Grid Reliability and Resilience Pricing under RM18-1. Part 29 of 76.
71,NUCLEAR INFORMATION & RESOURCE SERVICE,10/11/2017,20171011-0044,The Nuclear Information and Resource Service submits comments regarding the Grid Reliability and Resilience Pricing under RM18-1. Part 30 of 76.
72,Nuclear Information and Resource Service,10/11/2017,20171011-0045,The Nuclear Information and Resource Service submits comments regarding the Grid Reliability and Resilience Pricing under RM18-1. Part 31 of 76.
73,NUCLEAR INFORMATION & RESOURCE SERVICE,10/11/2017,20171011-0046,The Nuclear Information and Resource Service submits comments regarding the Grid Reliability and Resilience Pricing under RM18-1. Part 32 of 76.
74,NUCLEAR INFORMATION & RESOURCE SERVICE,10/11/2017,20171011-0047,The Nuclear Information and Resource Service submits comments regarding the Grid Reliability and Resilience Pricing under RM18-1. Part 33 of 76.
75,NUCLEAR INFORMATION & RESOURCE SERVICE,10/11/2017,20171011-0048,The Nuclear Information and Resource Service submits comments regarding the Grid Reliability and Resilience Pricing under RM18-1. Part 34 of 76.
76,NUCLEAR INFORMATION & RESOURCE SERVICE,10/11/2017,20171011-0049,The Nuclear Information and Resource Service submits comments regarding the Grid Reliability and Resilience Pricing under RM18-1. Part 35 of 76.
77,NUCLEAR INFORMATION & RESOURCE SERVICE,10/11/2017,20171011-0050,The Nuclear Information and Resource Service submits comments regarding the Grid Reliability and Resilience Pricing under RM18-1. Part 36 of 76.
78,NUCLEAR INFORMATION & RESOURCE SERVICE,10/11/2017,20171011-0051,The Nuclear Information and Resource Service submits comments regarding the Grid Reliability and Resilience Pricing under RM18-1. Part 37 of 76.
79,NUCLEAR INFORMATION & RESOURCE SERVICE,10/11/2017,20171011-0052,The Nuclear Information and Resource Service submits comments regarding the Grid Reliability and Resilience Pricing under RM18-1. Part 38 of 76.
80,NUCLEAR INFORMATION & RESOURCE SERVICE,10/11/2017,20171011-0053,The Nuclear Information and Resource Service submits comments regarding the Grid Reliability and Resilience Pricing under RM18-1. Part 39 of 76.
81,NUCLEAR INFORMATION & RESOURCE SERVICE,10/11/2017,20171011-0054,The Nuclear Information and Resource Service submits comments regarding the Grid Reliability and Resilience Pricing under RM18-1. Part 40 of 76.
82,NUCLEAR INFORMATION & RESOURCE SERVICE,10/11/2017,20171011-0055,The Nuclear Information and Resource Service submits comments regarding the Grid Reliability and Resilience Pricing under RM18-1. Part 41 of 76.
83,NUCLEAR INFORMATION & RESOURCE SERVICE,10/11/2017,20171011-0056,The Nuclear Information and Resource Service submits comments regarding the Grid Reliability and Resilience Pricing under RM18-1. Part 42 of 76.
84,NUCLEAR INFORMATION & RESOURCE SERVICE,10/11/2017,20171011-0057,The Nuclear Information and Resource Service submits comments regarding the Grid Reliability and Resilience Pricing under RM18-1. Part 43 of 76.
85,NUCLEAR INFORMATION & RESOURCE SERVICE,10/11/2017,20171011-0058,The Nuclear Information and Resource Service submits comments regarding the Grid Reliability and Resilience Pricing under RM18-1. Part 44 of 76.
86,NUCLEAR INFORMATION & RESOURCE SERVICE,10/11/2017,20171011-0059,The Nuclear Information and Resource Service submits comments regarding the Grid Reliability and Resilience Pricing under RM18-1. Part 45 of 76.
87,NUCLEAR INFORMATION & RESOURCE SERVICE,10/11/2017,20171011-0060,The Nuclear Information and Resource Service submits comments regarding the Grid Reliability and Resilience Pricing under RM18-1. Part 46 of 76.
88,NUCLEAR INFORMATION & RESOURCE SERVICE,10/11/2017,20171011-0061,The Nuclear Information and Resource Service submits comments regarding the Grid Reliability and Resilience Pricing under RM18-1. Part 47 of 76.
89,NUCLEAR INFORMATION & RESOURCE SERVICE,10/11/2017,20171011-0062,The Nuclear Information and Resource Service submits comments regarding the Grid Reliability and Resilience Pricing under RM18-1. Part 48 of 76.
90,NUCLEAR INFORMATION & RESOURCE SERVICE,10/11/2017,20171011-0063,The Nuclear Information and Resource Service submits comments regarding the Grid Reliability and Resilience Pricing under RM18-1. Part 49 of 76.
91,NUCLEAR INFORMATION & RESOURCE SERVICE,10/11/2017,20171011-0064,The Nuclear Information and Resource Service submits comments regarding the Grid Reliability and Resilience Pricing under RM18-1. Part 50 of 76.
92,NUCLEAR INFORMATION & RESOURCE SERVICE,10/11/2017,20171011-0065,The Nuclear Information and Resource Service submits comments regarding the Grid Reliability and Resilience Pricing under RM18-1. Part 51 of 76.
93,NUCLEAR INFORMATION & RESOURCE SERVICE,10/11/2017,20171011-0066,The Nuclear Information and Resource Service submits comments regarding the Grid Reliability and Resilience Pricing under RM18-1. Part 52 of 76.
94,NUCLEAR INFORMATION & RESOURCE SERVICE,10/11/2017,20171011-0067,The Nuclear Information and Resource Service submits comments regarding the Grid Reliability and Resilience Pricing under RM18-1. Part 53 of 76.
95,NUCLEAR INFORMATION & RESOURCE SERVICE,10/11/2017,20171011-0068,The Nuclear Information and Resource Service submits comments regarding the Grid Reliability and Resilience Pricing under RM18-1. Part 54 of 76.
96,NUCLEAR INFORMATION & RESOURCE SERVICE,10/11/2017,20171011-0069,The Nuclear Information and Resource Service submits comments regarding the Grid Reliability and Resilience Pricing under RM18-1. Part 55 of 76.
97,NUCLEAR INFORMATION & RESOURCE SERVICE,10/11/2017,20171011-0070,The Nuclear Information and Resource Service submits comments regarding the Grid Reliability and Resilience Pricing under RM18-1. Part 56 of 76.
98,NUCLEAR INFORMATION & RESOURCE SERVICE,10/11/2017,20171011-0071,The Nuclear Information and Resource Service submits comments regarding the Grid Reliability and Resilience Pricing under RM18-1. Part 57 of 76.
99,NUCLEAR INFORMATION & RESOURCE SERVICE,10/11/2017,20171011-0072,The Nuclear Information and Resource Service submits comments regarding the Grid Reliability and Resilience Pricing under RM18-1. Part 58 of 76.
100,NUCLEAR INFORMATION & RESOURCE SERVICE,10/11/2017,20171011-0073,The Nuclear Information and Resource Service submits comments regarding the Grid Reliability and Resilience Pricing under RM18-1. Part 59 of 76.
101,NUCLEAR INFORMATION & RESOURCE SERVICE,10/11/2017,20171011-0074,The Nuclear Information and Resource Service submits comments regarding the Grid Reliability and Resilience Pricing under RM18-1. Part 60 of 76.
102,NUCLEAR INFORMATION & RESOURCE SERVICE,10/11/2017,20171011-0075,The Nuclear Information and Resource Service submits comments regarding the Grid Reliability and Resilience Pricing under RM18-1. Part 61 of 76.
103,NUCLEAR INFORMATION & RESOURCE SERVICE,10/11/2017,20171011-0076,The Nuclear Information and Resource Service submits comments regarding the Grid Reliability and Resilience Pricing under RM18-1. Part 62 of 76.
104,NUCLEAR INFORMATION & RESOURCE SERVICE,10/11/2017,20171011-0077,The Nuclear Information and Resource Service submits comments regarding the Grid Reliability and Resilience Pricing under RM18-1. Part 63 of 76.
105,NUCLEAR INFORMATION & RESOURCE SERVICE,10/11/2017,20171011-0078,The Nuclear Information and Resource Service submits comments regarding the Grid Reliability and Resilience Pricing under RM18-1. Part 64 of 76.
106,NUCLEAR INFORMATION & RESOURCE SERVICE,10/11/2017,20171011-0079,The Nuclear Information and Resource Service submits comments regarding the Grid Reliability and Resilience Pricing under RM18-1. Part 65 of 76.
107,NUCLEAR INFORMATION & RESOURCE SERVICE,10/11/2017,20171011-0080,The Nuclear Information and Resource Service submits comments regarding the Grid Reliability and Resilience Pricing under RM18-1. Part 66 of 76.
108,NUCLEAR INFORMATION & RESOURCE SERVICE,10/11/2017,20171011-0081,The Nuclear Information and Resource Service submits comments regarding the Grid Reliability and Resilience Pricing under RM18-1. Part 67 of 76.
109,NUCLEAR INFORMATION & RESOURCE SERVICE,10/11/2017,20171011-0082,The Nuclear Information and Resource Service submits comments regarding the Grid Reliability and Resilience Pricing under RM18-1. Part 68 of 76.
110,NUCLEAR INFORMATION & RESOURCE SERVICE,10/11/2017,20171011-0083,The Nuclear Information and Resource Service submits comments regarding the Grid Reliability and Resilience Pricing under RM18-1. Part 69of 76.
111,NUCLEAR INFORMATION & RESOURCE SERVICE,10/11/2017,20171011-0084,The Nuclear Information and Resource Service submits comments regarding the Grid Reliability and Resilience Pricing under RM18-1. Part 70 of 76.
112,NUCLEAR INFORMATION & RESOURCE SERVICE,10/11/2017,20171011-0085,The Nuclear Information and Resource Service submits comments regarding the Grid Reliability and Resilience Pricing under RM18-1. Part 71 of 76.
113,NUCLEAR INFORMATION & RESOURCE SERVICE,10/11/2017,20171011-0086,The Nuclear Information and Resource Service submits comments regarding the Grid Reliability and Resilience Pricing under RM18-1. Part 72 of 76.
114,NUCLEAR INFORMATION & RESOURCE SERVICE,10/11/2017,20171011-0087,The Nuclear Information and Resource Service submits comments regarding the Grid Reliability and Resilience Pricing under RM18-1. Part 73 of 76.
115,NUCLEAR INFORMATION & RESOURCE SERVICE,10/11/2017,20171011-0088,The Nuclear Information and Resource Service submits comments regarding the Grid Reliability and Resilience Pricing under RM18-1. Part 74 of 76.
116,NUCLEAR INFORMATION & RESOURCE SERVICE,10/11/2017,20171011-0089,The Nuclear Information and Resource Service submits comments regarding the Grid Reliability and Resilience Pricing under RM18-1. Part 75 of 76
117,NUCLEAR INFORMATION & RESOURCE SERVICE,10/11/2017,20171011-0090,The Nuclear Information and Resource Service submits comments regarding the Grid Reliability and Resilience Pricing under RM18-1. Part 76 of 76.
118,NUCLEAR INFORMATION & RESOURCE SERVICE,10/11/2017,20171011-3036,Notice Denying Extension of Time re Grid Reliability and Resilience Pricing under RM18-1.
119,NUCLEAR INFORMATION & RESOURCE SERVICE,10/11/2017,20171011-3067,Errata to the 10/2/17 Commission issued Notice Inviting Comment re Grid Reliability and Resilience Pricing under RM18-1.
120,NUCLEAR INFORMATION & RESOURCE SERVICE,10/11/2017,20171011-3068,Notice of Federal Register Publication re the Grid Reliability and Resilience Pricing under RM18-1.
121,PPL Electric Utilities Corporation,10/11/2017,20171011-5001,(doc-less) Motion to Intervene of PPL Electric Utilities Corporation under RM18-1.
122,ISO New England Inc.,10/11/2017,20171011-5031,ISO New England Inc.doc-less Motion to Intervene in Docket No. RM18-1.
123,NUCLEAR ENERGY INSTITUTE,10/11/2017,20171011-5050,(doc-less) Motion to Intervene of NUCLEAR ENERGY INSTITUTE under RM18-1.
124,Nuclear Information and Resource Service,10/11/2017,20171011-5055,"Public comments of 10,561 individuals delivered by Nuclear Information and Resource Service under RM18-1."
125,Office of the People's Counsel of the District of Columbia,10/11/2017,20171011-5061,Motion to Intervene of Office of the People's Counsel of the District of Columbia and Answer in Support of the Joint Motion of the Energy Industry Associations under RM18-1.
126,ENVIRONMENTAL LAW & POLICY CENTER,10/11/2017,20171011-5094,(doc-less) Motion to Intervene of ENVIRONMENTAL LAW & POLICY CENTER under RM18-1.
127,Individual No Affiliation,10/11/2017,20171011-5131,"Comment of James R Schetter under RM17-3. Regarding the interest in recovery and allocation of uplift costs outside of the market to market participants expected to cause such costs, I submit our industry white paper on power plant cycling causality."
128,Southern California Generation Coalition,10/11/2017,20171011-5134,(doc-less) Motion to Intervene of Southern California Generation Coalition under RM18-1.
129,"LS Power Development, LLC Eastern Generation, LLC Dynegy, Inc. Invenergy LLC Tenaska Inc. Advanced Power Services (NA), LLC Competitive Power Ventures, Inc. Moxie Energy, LLC Rockland Capital, LLC",10/11/2017,20171011-5142,"Comment of LS Power Development, LLC, et. al. under RM18-1."
130,Louisiana Public Service Commission,10/11/2017,20171011-5154,(doc-less) Motion to Intervene of Louisiana Public Service Commission under RM18-1.
131,WEST VIRGINIA CONSUMER ADVOCATE,10/11/2017,20171011-5178,(doc-less) Motion to Intervene of WEST VIRGINIA CONSUMER ADVOCATE under RM18-1.
132,Dairyland Power Cooperative Dairyland Power Cooperative,10/12/2017,20171012-5004,(doc-less) Motion to Intervene of Dairyland Power Cooperative under RM18-1.
133,Minnotte Contracting Corporation,10/12/2017,20171012-5029,Comment of Minnotte Contracting Corporation under RM18-1.
134,Illinois Commerce Commission,10/12/2017,20171012-5031,(doc-less) Notice of Intervention of Illinois Commerce Commission under RM18-1.
135,International District Energy Association International District Energy Association International District Energy Association,10/12/2017,20171012-5036,Motion to Intervene of International District Energy Association under RM18-1.
136,Missouri Public Service Commission,10/12/2017,20171012-5047,(doc-less) Motion to Intervene of Missouri Public Service Commission under RM18-1.
137,Pennsylvania Public Utility Commission,10/12/2017,20171012-5056,(doc-less) Motion to Intervene of Pennsylvania Public Utility Commission under RM18-1.
138,Colonial Chemical Company,10/12/2017,20171012-5065,Comment of Colonial Chemical Company under RM18-1.
139,Individual No Affiliation,10/12/2017,20171012-5114,Comment of Deborah P Overeynder under RM18-1.
140,Illinois Attorney General's Office,10/12/2017,20171012-5134,(doc-less) Motion to Intervene of the Illinois Attorney General's Office under RM18-1.
141,Ingram Barge Company,10/12/2017,20171012-5137,Comment of Ingram Barge Company under RM18-1.
142,Individual No Affiliation,10/13/2017,20171013-5012,Comment of Jared R Murray under RM18-1.
143,Industry Terminal and Salvage,10/13/2017,20171013-5063,Comment of Industry Terminal and Salvage under RM18-1.
144,"Colona Transfer, LP",10/13/2017,20171013-5075,"Comment of Colona Transfer, LP under RM18-1."
145,Ohio Consumers' Counsel,10/13/2017,20171013-5090,(doc-less) Motion to Intervene by the Office of the Ohio Consumers' Counsel under RM18-1.
146,"SORBENT INJECTION SPECIALIST, LLC",10/13/2017,20171013-5093,"Comment of SORBENT INJECTION SPECIALIST, LLC under RM18-1."
147,Individual No Affiliation,10/13/2017,20171013-5099,Comment of Evan Scurti under RM18-1.
148,Brookfield Energy Marketing LP,10/13/2017,20171013-5113,(doc-less) Motion to Intervene of Brookfield Energy Marketing LP under RM18-1.
149,Maryland Public Service Commission,10/13/2017,20171013-5116,(doc-less) Motion to Intervene of Maryland Public Service Commission under RM18-1.
150,"DeNoxDirect, LLC",10/13/2017,20171013-5117,"Comment of DeNoxDirect, LLC under RM18-1."
151,Public Utilities Commission of The State of California,10/13/2017,20171013-5118,(doc-less) Notice of Intervention of the Public Utilities Commission of The State of California under RM18-1.
152,Individual No Affiliation,10/13/2017,20171013-5129,Comment of Robert Dash under RM18-1.
153,Penn-Northwest Development Corporation,10/13/2017,20171013-5138,Comment of Penn-Northwest Development Corporation under RM18-1. Please see attached letter.
154,City of Steubenville,10/13/2017,20171013-5158,Comment of City of Steubenville under RM18-1.
155,"ThorCon USA, Inc",10/16/2017,20171016-0020,"Comments of Jack Devanney of ThorCon USA, Inc under RM18-1."
156,ENVIRONMENTAL DEFENSE FUND,10/16/2017,20171016-5017,(doc-less) Motion to Intervene of ENVIRONMENTAL DEFENSE FUND under RM18-1.
157,ibew 272,10/16/2017,20171016-5034,Comment of ibew 272 under RM18-1.
158,Individual No Affiliation,10/16/2017,20171016-5042,Comment of Unions for Jobs & Environmental Progress under RM18-1
159,Camelot Coal Company,10/16/2017,20171016-5071,Comment of Camelot Coal Company under RM18-1.
160,Omaha Public Power District,10/16/2017,20171016-5072,(doc-less) Motion to Intervene of Omaha Public Power District under RM18-1.
161,FirstEnergy Corp.,10/16/2017,20171016-5082,Comment of FirstEnergy Corp. under RM18-1. (Erroneously Filed)
162,Individual No Affiliation,10/16/2017,20171016-5094,Comment of Richard Pierce under RM18-1.
163,IBEW Local 245,10/16/2017,20171016-5095,Comment of IBEW Local 245 under RM18-1.
164,DUQUENSE LIGHT COMPANY DUQUENSE LIGHT COMPANY,10/16/2017,20171016-5103,(doc-less) Motion to Intervene of DUQUENSE LIGHT COMPANY under RM18-1.
